rule_id,policy_name,publish_time,effective_start,effective_end,rule_type,scope,state_group,state_name,state_value,source_file,note,binding_target,binding_kind,semantic_source
reviewed_0001,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11 00:00:00,2023-05-22 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,辅助服务状态会影响现货边际可调空间。,ancillary_peak_shaving_pause,lower_action,rule_table
reviewed_0002,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11 00:00:00,2023-05-22 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,调频容量预留压缩现货边际可调空间。,ancillary_freq_reserve_tight,lower_action,rule_table
reviewed_0003,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11 00:00:00,2023-05-22 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,辅助服务耦合会改变价格波动边界与现货风险窗口。,ancillary_price_boundary_tight,lower_action,rule_table
reviewed_0004,2024-01-31 电力市场信息披露基本规则,2024-01-31 00:00:00,2024-01-31 00:00:00,NaT,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,info_disclosure_active,1.0,d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx,信息披露制度改善市场可观测性。,info_disclosure_active,state,rule_table
reviewed_0005,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,新能源机制电价制度进入竞价准备阶段。,mechanism_stage_label,settlement_mode,rule_table
reviewed_0006,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14 00:00:00,2025-10-14 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,辅助服务状态会影响现货边际可调空间。,ancillary_peak_shaving_pause,lower_action,rule_table
reviewed_0007,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14 00:00:00,2025-10-14 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,调频容量预留压缩现货边际可调空间。,ancillary_freq_reserve_tight,lower_action,rule_table
reviewed_0008,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14 00:00:00,2025-10-14 00:00:00,NaT,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,辅助服务耦合会改变价格波动边界与现货风险窗口。,ancillary_price_boundary_tight,lower_action,rule_table
reviewed_0009,2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2),2025-10-15 00:00:00,2025-10-15 00:00:00,NaT,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,forecast_boundary_improved,1.0,d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx,新能源消纳监测统计提升新能源波动的观测边界。,forecast_boundary_improved,state,rule_table
reviewed_0010,2025.10.15湖南省电力市场计量实施规则,2025-10-15 00:00:00,2025-10-15 00:00:00,NaT,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,metering_boundary_improved,1.0,d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx,计量规则改善偏差结算与观测边界。,metering_boundary_improved,state,rule_table
reviewed_0011,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15 00:00:00,2025-10-15 00:00:00,NaT,market_coupling,湖南省售电周度持仓实验,market_coupling,lt_settlement_base,1.0,d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx,中长期动作用作结算底仓，不直接映射物理执行曲线。,lt_settlement_base,state,rule_table
