document_id,unit_id,source_file,file_name,unit_type,heading_path,paragraph_index,table_index,text,raw_value
doc_0001,unit_0001,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,rule_note,ancillary_coupling,0,,辅助服务状态会影响现货边际可调空间。,0.0
doc_0002,unit_0002,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,rule_note,ancillary_coupling,1,,调频容量预留压缩现货边际可调空间。,1.0
doc_0003,unit_0003,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,rule_note,ancillary_coupling,2,,辅助服务耦合会改变价格波动边界与现货风险窗口。,1.0
doc_0004,unit_0004,d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx,2024-01-31 电力市场信息披露基本规则.docx,rule_note,info_forecast_boundary,3,,信息披露制度改善市场可观测性。,1.0
doc_0005,unit_0005,d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,rule_note,renewable_mechanism,4,,新能源机制电价制度进入竞价准备阶段。,竞价准备
doc_0006,unit_0006,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,rule_note,ancillary_coupling,5,,辅助服务状态会影响现货边际可调空间。,0.0
doc_0007,unit_0007,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,rule_note,ancillary_coupling,6,,调频容量预留压缩现货边际可调空间。,1.0
doc_0008,unit_0008,d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,rule_note,ancillary_coupling,7,,辅助服务耦合会改变价格波动边界与现货风险窗口。,1.0
doc_0009,unit_0009,d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx,2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx,rule_note,info_forecast_boundary,8,,新能源消纳监测统计提升新能源波动的观测边界。,1.0
doc_0010,unit_0010,d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx,2025.10.15湖南省电力市场计量实施规则.docx,rule_note,info_forecast_boundary,9,,计量规则改善偏差结算与观测边界。,1.0
doc_0011,unit_0011,d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx,2025.10.15湖南省电力现货市场交易实施细则.docx,rule_note,market_coupling,10,,中长期动作用作结算底仓，不直接映射物理执行曲线。,1.0
doc_0012,unit_0012,d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx,2025.10.15湖南省电力现货市场交易实施细则.docx,rule_note,market_coupling,11,,现货市场承担边际敞口。,1.0
doc_0013,unit_0013,d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx,2025.10.15湖南省电力现货市场交易实施细则.docx,rule_note,market_coupling,12,,中长期仅作结算依据，现货承担全电量集中竞价下的边际风险。,1.0
doc_0014,unit_0014,d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,rule_note,ancillary_coupling,13,,辅助服务状态会影响现货边际可调空间。,0.0
doc_0015,unit_0015,d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,rule_note,ancillary_coupling,14,,调频容量预留压缩现货边际可调空间。,1.0
doc_0016,unit_0016,d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,rule_note,ancillary_coupling,15,,辅助服务耦合会改变价格波动边界与现货风险窗口。,1.0
