candidate_id,policy_name,publish_time,effective_start_candidate,effective_end_candidate,rule_type_candidate,scope_candidate,state_group_candidate,state_name_candidate,state_value_candidate,evidence_unit_id,evidence_text,extractor,confidence,review_status
candidate_0001,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0003,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0002,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0003,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0003,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0003,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
candidate_0004,2024-01-31 电力市场信息披露基本规则,2024-01-31,2024-01-31,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,info_disclosure_active,1.0,unit_0004,信息披露制度改善市场可观测性。,parsed_rule_bootstrap,0.85,accepted
candidate_0005,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2025-02-13,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,unit_0027,新能源机制电价制度进入竞价准备阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0006,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0008,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0007,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0008,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0008,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0008,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
candidate_0009,2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2),2025-10-15,2025-10-15,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,forecast_boundary_improved,1.0,unit_0009,新能源消纳监测统计提升新能源波动的观测边界。,parsed_rule_bootstrap,0.85,accepted
candidate_0010,2025.10.15湖南省电力市场计量实施规则,2025-10-15,2025-10-15,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,metering_boundary_improved,1.0,unit_0010,计量规则改善偏差结算与观测边界。,parsed_rule_bootstrap,0.85,accepted
candidate_0011,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,lt_settlement_base,1.0,unit_0013,中长期动作用作结算底仓，不直接映射物理执行曲线。,parsed_rule_bootstrap,0.85,accepted
candidate_0012,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,spot_marginal_exposure,1.0,unit_0013,现货市场承担边际敞口。,parsed_rule_bootstrap,0.85,accepted
candidate_0013,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,lt_spot_coupling_state,1.0,unit_0013,中长期仅作结算依据，现货承担全电量集中竞价下的边际风险。,parsed_rule_bootstrap,0.85,accepted
candidate_0014,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0016,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0015,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0016,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0016,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0016,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
