week_start,risk_factor_id,risk_factor_name,factor_category,factor_value,direction,source_fields,formula_note,policy_state_dependency
2026-02-02,spot_price_volatility,现货价格波动,spot_price_volatility,110.75492476821086,higher_is_riskier,"da_price_std,id_price_std,spread_std","mean(da_price_std, id_price_std, spread_std)","policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-02,da_id_cross_correlation,日前-实时价格跨期相关,cross_market_correlation,0.8690494392901934,higher_is_riskier,da_id_cross_corr_w,abs(da_id_cross_corr_w),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-02,load_forecast_bias,负荷预测偏差,load_forecast_bias,0.010088382201856674,higher_is_riskier,"forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh",abs(actual - forecast) / forecast,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-02,renewable_output_volatility,新能源出力波动,renewable_output_volatility,650.8279458243967,higher_is_riskier,"renewable_dev_std,prev_renewable_ratio_da_mean",0.7 * renewable_dev_std + 0.3 * abs(prev_renewable_ratio_da_mean),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-02,extreme_event_or_policy_disturbance,极端事件或制度扰动,extreme_event_or_policy_disturbance,0.0,higher_is_riskier,"extreme_event_flag_w,extreme_price_spike_flag_w",extreme_event_flag_w + extreme_price_spike_flag_w,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-09,spot_price_volatility,现货价格波动,spot_price_volatility,153.2942186948374,higher_is_riskier,"da_price_std,id_price_std,spread_std","mean(da_price_std, id_price_std, spread_std)","policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-09,da_id_cross_correlation,日前-实时价格跨期相关,cross_market_correlation,0.7652348469766901,higher_is_riskier,da_id_cross_corr_w,abs(da_id_cross_corr_w),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-09,load_forecast_bias,负荷预测偏差,load_forecast_bias,0.019893902654816276,higher_is_riskier,"forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh",abs(actual - forecast) / forecast,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-09,renewable_output_volatility,新能源出力波动,renewable_output_volatility,847.4662511914219,higher_is_riskier,"renewable_dev_std,prev_renewable_ratio_da_mean",0.7 * renewable_dev_std + 0.3 * abs(prev_renewable_ratio_da_mean),"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
2026-02-09,extreme_event_or_policy_disturbance,极端事件或制度扰动,extreme_event_or_policy_disturbance,0.0,higher_is_riskier,"extreme_event_flag_w,extreme_price_spike_flag_w",extreme_event_flag_w + extreme_price_spike_flag_w,"policy_projection_active,renewable_mechanism_active,lt_price_linked_active,info_disclosure_active,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type"
